,r,rho,ratio,p,q,error
104,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,3,2.42851170489342263e-06
105,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,5,3,5.66523210517537890e-03
106,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,5,20,5.66523210517537890e-03
107,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,3,5,4.14465997635134718e-03
108,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,15,20,2.47040911852918308e-10
109,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,20,3,7.57071083510068221e-04
110,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,15,20,2.42851170489342272e-05
111,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,10,15,7.77123745565895242e-05
112,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,15,10,2.42851170489342272e-05
113,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,10,10,2.52969969200832352e-09
114,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,10,5,7.77123745565895269e-04
115,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,3,3,4.14465997635134718e-03
116,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,3,5,1.00715237425340026e-01
117,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,5,10,5.66523210517537890e-03
118,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,10,15,2.52969969296347931e-09
119,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,15,3,3.19029131487375966e-02
120,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,10,5,2.52969969165492888e-07
121,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,3,15,1.00715237425340076e+00
122,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,5,10,2.59041248521906195e-05
123,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,20,10,7.58909907602497015e-09
124,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,3,20,1.00715237425340037e-02
125,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,10,15,1.34438613433361553e-01
126,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,15,5,2.42851170488017017e-07
127,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,5,20,5.66523210517537665e-02
128,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,10,15,7.77123745565850993e-06
129,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,15,3,2.47040891366549357e-10
130,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,5,5,2.59041248521950359e-06
131,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,10,5,1.34438613433361553e-01
132,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,5,15,5.66523210517538178e-01
133,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,20,10,2.41156723847855983e-13
134,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,15,5,2.47040926706045795e-11
135,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,5,20,5.66523210517538178e-01
136,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,15,10,3.19029131487370311e-03
137,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,20,10,7.57071083510103457e-05
138,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,3,10,9.94718394324345945e-02
139,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,3,5,9.94718394324345910e-03
140,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,3,3,9.94718394324345910e-03
141,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,10,20,2.52969969297942487e-09
142,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,15,2.42851170489342263e-06
143,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,15,10,2.47040970880416390e-12
144,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,5,20,2.48679598581085599e-04
145,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,20,10,2.41192063344316707e-14
146,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,20,20,7.57071083510068221e-04
147,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,15,3,2.42851170489342272e-05
148,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,20,3,7.58909907779194599e-07
149,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,20,5,7.57071083510124729e-03
150,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,20,15,7.57071083510068221e-04
151,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,3,5,4.14465997635138220e-04
152,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,3,3,1.00715237425340026e-01
153,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,5,15,2.48679598581086478e-03
154,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,10,15,2.52969969310829912e-08
155,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,15,5,3.19029131487375966e-02
156,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,15,15,2.42851170489342272e-05
157,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,3,10,9.94718394324344566e-04
158,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,20,15,2.41156723847855983e-13
