,R,r,rho,ratio,p,q,error
95,1.00000000000000000e+00,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,3,15,1.30938630575850845e+00
96,1.00000000000000000e+00,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,5,15,1.47362090252932884e-02
97,1.00000000000000000e+00,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,3,5,7.94502921743554746e-01
98,1.00000000000000006e-01,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,20,10,3.16513943602227746e-02
99,1.00000000000000006e-01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,15,20,3.19029132023328915e-03
100,1.00000000000000006e-01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,5,5,5.66598806657791637e-02
101,1.00000000000000000e+01,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,5,3,1.47362090252932919e-03
102,1.00000000000000000e+01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,15,3,2.14421475913675746e-01
103,1.00000000000000000e+01,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,20,15,3.16513943602232358e-04
104,1.00000000000000000e+01,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,10,5,3.09686257048163194e+00
105,1.00000000000000000e+01,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,15,3,1.46947818621509851e+00
106,1.00000000000000000e+00,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,5,3,2.48848269294979626e-04
107,1.00000000000000006e-01,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,3,3,3.41934448048993367e-01
108,1.00000000000000006e-01,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,5,10,3.70327797398705208e-02
109,1.00000000000000006e-01,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,5,10,2.48679598941731628e-04
110,1.00000000000000000e+01,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,3,3,1.14496231846708584e-03
111,1.00000000000000006e-01,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,20,5,7.58909907602497147e-08
112,1.00000000000000000e+00,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,5,10,9.55528286686628259e-02
